#          p        sig_p         v          bv       sig_bv
#
       66.47        0.74        3.71       0.337       0.012
       15.48        0.97        7.72       0.523       0.015
       26.89        0.96        7.68       0.636       0.015
       10.91        0.84        6.94       0.467       0.005
       10.69        0.86        7.44       0.356       0.015
       30.73        0.92        5.16       0.672       0.003
       10.74        0.89         7.6       0.299       0.012
       21.89        0.97        7.92        0.62       0.012
       18.43        0.92        7.44       0.491       0.015
       59.98        0.95        5.16         0.6       0.007
       13.53        0.87        7.52       0.433       0.015
       10.08        0.86         6.7        0.07       0.003
        11.2        0.93        7.53       0.421        0.01
        18.9        0.95        4.29      -0.075       0.003
        12.3         0.9        6.82       0.191       0.008
       44.47        0.77        5.53       0.488       0.004
       42.73        0.82        6.79       0.622       0.007
       28.28         0.8        6.27       0.456       0.023
        13.1        0.94        7.51       0.586       0.015
       31.76        0.91        6.97       0.645        0.01
       18.38        0.79        6.54       0.592       0.007
       28.72        0.77        5.79       0.432       0.005
       30.45        0.96        6.11       0.543       0.013
       13.15        0.94         7.7       0.523       0.015
       12.16        0.98        7.69       0.441       0.015
       23.43        0.89        6.36       0.384       0.009
       20.32        0.97        7.27       0.541        0.02
       13.22        0.91        7.57        0.47       0.009
       38.24        0.85        6.51       0.599       0.004
       14.91         0.9         6.9       0.534       0.002
       40.03        0.98        6.37       0.591        0.02
       27.36        0.93        7.17       0.593       0.003
       18.64         0.9        6.61       0.511       0.015
       17.47        0.94        4.52       0.128       0.002
       23.41        0.87        6.65       0.425       0.006
        20.4         0.9        6.91       0.469       0.009
       14.92        0.94        7.79       0.425        0.01
       14.08         0.8        7.33       0.453       0.013
       14.41        0.97        8.11       0.614       0.011
       10.38        0.89        7.17       0.375       0.008
       37.06        0.76        5.48        0.52       0.004
       14.17        0.96        7.28       0.433       0.015
       10.87        0.82        7.48       0.398       0.015
       10.68         0.9        7.28       0.407       0.001
       12.18        0.94        7.67       0.297       0.019
       11.77        0.79         4.6      -0.087       0.004
       27.55        0.74        5.51       0.321       0.005
       18.56        0.88        6.64       0.543       0.008
       15.56        0.82        7.06       0.384       0.007
       30.14        0.98        7.74       0.607       0.004
       20.43         0.9        6.87       0.551       0.015
       15.82        0.99        7.74        0.49       0.015
       20.34        0.91        7.73       0.614       0.001
       16.82        0.98        7.48       0.651       0.002
        20.8        0.91        5.48       0.297       0.005
       13.33        0.85        6.79       0.365       0.009
       16.86        0.86        4.32       0.037       0.007
       24.65        0.91        7.48       0.589        0.01
        25.7        0.87        6.69       0.439       0.007
       96.33        0.77        6.05       0.862       0.015
       13.06        0.92        8.12       0.454       0.012
       14.67        0.92        7.86       0.521       0.015
       16.44        0.98        8.24       0.574       0.015
       29.06        0.89        7.16        0.64       0.009
       17.95        0.84        7.16       0.484       0.006
       79.48        0.77        5.95       0.754       0.009
       35.65        0.92        5.84       0.476       0.005
       12.77        0.95         7.7        0.51       0.015
       12.58        0.93        7.66       0.488        0.01
       10.19        0.89        7.86       0.498       0.015
       11.21        0.74        4.78       0.267       0.009
       22.08        0.82         6.2       0.517       0.005
